customer_id,name,phone,email,existing_pincode
CUST-0000,Jagvi Bava,2481882161,lvyas@example.com,268177
CUST-0001,Owen Bhat,2476905825,hprashad@example.com,671914
CUST-0002,Ekavir Bose,1009672515,nayakrajata@example.net,642085
CUST-0003,Jagat Varughese,9123224009,yashicapanchal@example.com,183249
CUST-0004,Kiaan Arora,0077259099,nairbenjamin@example.com,702922
CUST-0005,Ekantika Sachdeva,8293974384,gayathri38@example.net,715137
CUST-0006,Leena Sandal,5586314846,aditya20@example.net,693706
CUST-0007,Vihaan Palla,4479201691,gautam65@example.com,233515
CUST-0008,Mohammed Dhaliwal,1548747845,osha76@example.org,719852
CUST-0009,Hamsini Chakraborty,8576280446,warda08@example.org,684352
CUST-0010,Adya Nazareth,6403370802,mistrycharita@example.net,325964
CUST-0011,Anvi Bhardwaj,1169469457,anvi92@example.net,439408
CUST-0012,Bhavya Manne,8369678795,sdas@example.org,424329
CUST-0013,Yadavi Sane,7582340989,uchar@example.org,712327
CUST-0014,Ayaan Balasubramanian,6370941605,forumbhalla@example.com,580637
CUST-0015,Forum Wason,8927739716,rayaan30@example.com,646801
CUST-0016,Tripti Tata,0546740997,tpadmanabhan@example.com,622715
CUST-0017,Zaid Purohit,2801622834,murthyreyansh@example.net,695185
CUST-0018,Noah Cheema,2422708437,lsem@example.com,477189
CUST-0019,Udarsh Sethi,3807533640,kurianlakshmi@example.com,208143
CUST-0020,Balveer Krishnan,5577959854,malhotrazaitra@example.net,434647
CUST-0021,Lopa Ram,8642764074,christopherkaran@example.net,514532
CUST-0022,Saanvi Buch,1507565740,swamyzilmil@example.org,286212
CUST-0023,Panini Dora,5577101493,abeersaran@example.com,411395
CUST-0024,Hritik Chacko,4089183794,ybhandari@example.com,630626
CUST-0025,Lila Bir,0234731826,timothymanda@example.net,401336
CUST-0026,Bimala Apte,8433619508,nitara35@example.org,545470
CUST-0027,Harrison Bajwa,8296302484,nnaik@example.org,268253
CUST-0028,Manthan Bobal,1818623308,csabharwal@example.net,354671
CUST-0029,Vritti Ratta,6363171663,qdivan@example.org,385510
CUST-0030,Dhriti Prakash,9619611138,paizaid@example.org,497191
CUST-0031,Charles Bava,9243746622,jairajsastry@example.net,650532
CUST-0032,Chanakya Dey,4421600827,jhalakahluwalia@example.com,696439
CUST-0033,Ekansh Suresh,1715148176,nagarsuhani@example.org,614914
CUST-0034,Ekantika Dhar,3087144319,anamika69@example.org,328905
CUST-0035,Aditya Char,5662771238,tailorishwar@example.net,165130
CUST-0036,Theodore Nadkarni,3525998872,avi81@example.net,216394
CUST-0037,Vincent Varughese,8919028671,devankritika@example.com,328055
CUST-0038,Timothy Sanghvi,8946549541,bahadurjit81@example.net,741536
CUST-0039,Kashvi Mammen,8659668831,vborra@example.org,621777
CUST-0040,Vansha Bora,3705475441,vyanjanamore@example.net,261119
CUST-0041,Udyati Shanker,0488161842,libni50@example.net,279281
CUST-0042,Yatan Guha,9920922987,jhalakchoudhury@example.com,263724
CUST-0043,Janaki Datta,6964844517,dhriti26@example.org,663763
CUST-0044,Abha Kulkarni,4955679145,harinakshi82@example.org,383800
CUST-0045,Bhavika Natarajan,9050101467,chaitalysastry@example.com,343616
CUST-0046,Avni Korpal,9061954282,tatadaniel@example.net,777358
CUST-0047,Tristan Hayre,5383201276,sarabir@example.com,361017
CUST-0048,Megha Shroff,4892603228,keya39@example.com,652784
CUST-0049,Zaid Brar,7810760898,ebajaj@example.com,402992
CUST-0050,Sanaya Badami,7759698692,sundarambahadurjit@example.org,578953
CUST-0051,Saumya Gill,6408167477,mvala@example.com,341172
CUST-0052,Reyansh Ghose,0920996219,bsaha@example.org,324302
CUST-0053,Meghana Kota,9216326592,rudrasachar@example.org,112002
CUST-0054,Advaith Wadhwa,5302754627,ngola@example.net,784374
CUST-0055,Urvashi Zacharia,4747233646,samralakshit@example.org,517410
CUST-0056,Champak Ghose,6805946486,rishi29@example.net,297194
CUST-0057,Noah Garde,4895548687,nidrarai@example.net,525067
CUST-0058,Advika Kohli,4361048744,ektarana@example.org,276573
CUST-0059,Vrinda Bhatia,5193815676,aryan14@example.org,729512
CUST-0060,Krishna Bahri,9511438389,settyaayush@example.org,734816
CUST-0061,Forum Nori,2352728466,xray@example.com,685312
CUST-0062,Abeer Aggarwal,6867240460,umang04@example.org,791234
CUST-0063,Yash Karpe,3732601449,ubhasin@example.org,314269
CUST-0064,Rachana Bawa,9331222295,jdas@example.net,635507
CUST-0065,Gautami Dubey,7931954897,xnaidu@example.org,680796
CUST-0066,Mugdha Dhar,5261076719,wrideshmangal@example.net,480970
CUST-0067,Aachal Dar,0182991008,bachittar84@example.net,636018
CUST-0068,Ojasvi Tak,1077551957,bhavnaoza@example.com,129614
CUST-0069,Xiti Dasgupta,1942520004,davidkala@example.org,267080
CUST-0070,Jyoti Malhotra,2035257167,deekanta@example.org,236183
CUST-0071,Naveen Padmanabhan,1229483277,sandalbina@example.com,692424
CUST-0072,Ekalinga Lad,3378877296,rayaansibal@example.org,697514
CUST-0073,Charan Gokhale,5589136839,xmadan@example.org,212494
CUST-0074,Xalak Bumb,7449800098,karnikwarhi@example.org,176448
CUST-0075,Isaac Kar,4522705385,simonbalasubramanian@example.net,647041
CUST-0076,Gautami Tata,4182520644,rajanvidhi@example.org,669191
CUST-0077,Chandran Zachariah,6958697946,shivani94@example.net,658626
CUST-0078,Ronith Kala,2952744732,odika84@example.com,579268
CUST-0079,Wridesh Parmar,9919641768,nirja07@example.net,441329
CUST-0080,Eesha Murty,1695606954,isaiah91@example.net,333022
CUST-0081,Harshil Dhingra,9050127945,harshiltalwar@example.org,271950
CUST-0082,Abeer Patel,1315323873,bedirishi@example.org,375403
CUST-0083,Ekaraj De,9512856503,hemani80@example.com,208698
CUST-0084,Gagan Bhattacharyya,3942160101,tarakannan@example.net,344580
CUST-0085,Faris Nadkarni,4559284111,shaurya01@example.org,465590
CUST-0086,Tamanna Sachar,4310513087,baradtanish@example.net,493730
CUST-0087,Anjali Srinivasan,3063086651,ishani14@example.com,128961
CUST-0088,Nandini Kade,3596956996,varenya92@example.org,647146
CUST-0089,Arya Chaudhry,7148994759,khannaforum@example.com,219870
CUST-0090,Anjali Raja,4401435096,chaudhryhemang@example.com,300371
CUST-0091,Ekapad Edwin,3050494078,onikalla@example.org,381172
CUST-0092,Warhi Sur,8552054222,lallurvi@example.com,628639
CUST-0093,Wahab Kapur,9984348557,divandavid@example.com,302251
CUST-0094,Mitali Barad,7875626618,anirudh84@example.org,775259
CUST-0095,Falak Korpal,9877569172,ipuri@example.net,343212
CUST-0096,Oni Amble,2756859339,vyanjana05@example.com,122108
CUST-0097,Rehaan Viswanathan,2834131792,idikamannan@example.net,390872
CUST-0098,Oliver Uppal,8069975467,leenavaidya@example.org,360019
CUST-0099,Urvi D’Alia,4562240194,dalalsanya@example.org,299946
CUST-0100,Saanvi Cheema,4036597883,manneekansh@example.com,325872
CUST-0101,Darpan Kakar,0561639429,rishi94@example.org,473857
CUST-0102,Caleb Sekhon,9522279537,qdhawan@example.org,129330
CUST-0103,Gagan Baria,6075807953,ldas@example.org,607823
CUST-0104,Vivaan Chauhan,1872393935,liampatla@example.com,791686
CUST-0105,Vihaan Sood,3950391469,yuvraj83@example.org,522181
CUST-0106,Urishilla Maharaj,2524388632,sbali@example.net,469352
CUST-0107,Ijaya Sekhon,2522798777,prakashwatika@example.com,474435
CUST-0108,Abdul Dhawan,5586440745,tloyal@example.com,765831
CUST-0109,Mason Edwin,4355413311,kpuri@example.com,168093
CUST-0110,Adweta Khatri,6930750227,neelimasathe@example.net,640520
CUST-0111,Bhavya Sen,8538105880,yamini36@example.net,417295
CUST-0112,Tara Mohanty,4043520243,bathdhriti@example.net,577481
CUST-0113,Benjamin Pillay,0628893604,nicholas03@example.com,449250
CUST-0114,Vritti Datta,2153715781,panchalyatin@example.com,483906
CUST-0115,Irya Choudhury,9301232872,chameli37@example.com,607700
CUST-0116,Kai Murthy,1093716849,lankamitali@example.net,639254
CUST-0117,Yagnesh Bedi,4734250099,vignakul@example.net,528918
CUST-0118,Jacob Sharma,6806794008,aggarwalqasim@example.com,429024
CUST-0119,Ucchal Chada,3837738926,ayaan05@example.com,272794
CUST-0120,Neelima Peri,4649323163,qchowdhury@example.net,451978
CUST-0121,Adya Nayar,5264562878,girindra59@example.net,758762
CUST-0122,Jagat Baral,6194380341,ekajanadkarni@example.org,560096
CUST-0123,Arunima Issac,6790095100,irabahl@example.org,659200
CUST-0124,Janaki Gaba,5921367723,lsaha@example.com,722433
CUST-0125,Hemani Nagi,7100171179,fbalakrishnan@example.net,142675
CUST-0126,Dalaja Nadig,6717066485,wcontractor@example.net,504913
CUST-0127,Dipta Ramanathan,6053711123,rajata88@example.com,667260
CUST-0128,Barkha Virk,4119551242,qdass@example.com,589146
CUST-0129,Bachittar Dasgupta,2624985236,mjoshi@example.org,671198
CUST-0130,Faras Saran,6700107067,radhika91@example.net,606877
CUST-0131,Mohini Nagy,2230415755,bainsyashica@example.org,325187
CUST-0132,Chanchal Mammen,6458431360,bachittar61@example.org,511144
CUST-0133,Baghyawati Yadav,6966364394,yatinmangal@example.net,159019
CUST-0134,Yochana Saraf,1139565086,jbakshi@example.net,738837
CUST-0135,Lakshit Vohra,4572213538,surafaras@example.com,705342
CUST-0136,Faris Sawhney,7631808500,dasguptajagat@example.net,391829
CUST-0137,Dhruv Shan,8972062784,zehaan84@example.org,623398
CUST-0138,Mason Mand,9633095268,neelimaaurora@example.net,598530
CUST-0139,Vrinda Ratti,0237499521,chatura40@example.com,436815
CUST-0140,Balendra Dada,6415776167,sundaramfaras@example.com,591266
CUST-0141,Elijah Chokshi,0265389877,msaran@example.org,515640
CUST-0142,Bishakha D’Alia,9565828367,hiral66@example.org,719718
CUST-0143,Chakradev Ramesh,5779629906,urishillajoshi@example.com,487020
CUST-0144,Odika Bhatt,1399393970,wrattan@example.net,228151
CUST-0145,Daksh Sarma,8959500586,vasanamody@example.org,619756
CUST-0146,Chatresh Viswanathan,3848265332,ramakrishnantripti@example.com,582657
CUST-0147,Faras Sha,0072240766,atripathi@example.com,470669
CUST-0148,Samarth Ganesan,4424675514,jeet71@example.net,450313
CUST-0149,Janani Sarin,7210007297,janianirudh@example.org,315250
CUST-0150,Nidra Som,5634554236,choudhuryvansha@example.com,500304
